,{},"{kubernetes_node=""node1""}","{kubernetes_node=""node2""}","{kubernetes_node=""node3""}","{kubernetes_node=""node4""}","{kubernetes_node=""node5""}"
2022-11-08 03:58:30,9489584128.0,5503275008.0,1023021056.0,993230848.0,1011228672.0,959778816.0
2022-11-08 03:58:31,9505046528.0,5502013440.0,1023098880.0,1002754048.0,1029652480.0,961949696.0
2022-11-08 03:58:32,9500512256.0,5505015808.0,1021960192.0,993681408.0,1012580352.0,964071424.0
2022-11-08 03:58:33,9499922432.0,5504909312.0,1020928000.0,995201024.0,1013579776.0,963846144.0
2022-11-08 03:58:34,9497591808.0,5503012864.0,1020473344.0,993939456.0,1013354496.0,969318400.0
2022-11-08 03:58:35,9502396416.0,5505327104.0,1022435328.0,994529280.0,1014513664.0,965574656.0
2022-11-08 03:58:36,9516728320.0,5515046912.0,1022615552.0,996110336.0,1011126272.0,963104768.0
2022-11-08 03:58:37,9499271168.0,5504786432.0,1022586880.0,995553280.0,1010016256.0,964263936.0
2022-11-08 03:58:38,9499533312.0,5507764224.0,1023676416.0,994426880.0,1008644096.0,964616192.0
2022-11-08 03:58:39,9499246592.0,5509394432.0,1021104128.0,994258944.0,1008599040.0,962326528.0
2022-11-08 03:58:40,9496489984.0,5511159808.0,1021116416.0,993353728.0,1007415296.0,963174400.0
2022-11-08 03:58:41,9505013760.0,5511131136.0,1021587456.0,1001136128.0,1025232896.0,963555328.0
2022-11-08 03:58:42,9497796608.0,5509988352.0,1023152128.0,992546816.0,1009590272.0,963547136.0
2022-11-08 03:58:43,9502564352.0,5510610944.0,1024372736.0,991989760.0,1010339840.0,963837952.0
2022-11-08 03:58:44,9512472576.0,5507641344.0,1022377984.0,992538624.0,1010630656.0,969080832.0
2022-11-08 03:58:45,9501696000.0,5508583424.0,1020829696.0,992280576.0,1009758208.0,965414912.0
2022-11-08 03:58:46,9510227968.0,5514797056.0,1020121088.0,993374208.0,1011404800.0,964239360.0
2022-11-08 03:58:47,9500409856.0,5517004800.0,1020973056.0,993337344.0,1012498432.0,964526080.0
2022-11-08 03:58:48,9500909568.0,5505716224.0,1022611456.0,994009088.0,1012871168.0,965951488.0
2022-11-08 03:58:49,9501159424.0,5504634880.0,1022644224.0,993869824.0,1012617216.0,965521408.0
2022-11-08 03:58:50,9504346112.0,5508718592.0,1020559360.0,994127872.0,1012551680.0,965898240.0
2022-11-08 03:58:51,9503850496.0,5508820992.0,1020153856.0,1004769280.0,1026367488.0,963493888.0
2022-11-08 03:58:52,9493725184.0,5507207168.0,1019895808.0,990019584.0,1010462720.0,962396160.0
2022-11-08 03:58:53,9493037056.0,5509062656.0,1021046784.0,991502336.0,1009315840.0,963698688.0
2022-11-08 03:58:54,9506729984.0,5506809856.0,1021693952.0,990244864.0,1009602560.0,967213056.0
2022-11-08 03:58:55,9496502272.0,5506973696.0,1021243392.0,990212096.0,1010536448.0,964288512.0
2022-11-08 03:58:56,9506050048.0,5512531968.0,1020694528.0,988823552.0,1010503680.0,964943872.0
2022-11-08 03:58:57,9488101376.0,5500366848.0,1022947328.0,989790208.0,1009827840.0,966234112.0
2022-11-08 03:58:58,9490907136.0,5501538304.0,1024147456.0,991014912.0,1010438144.0,963928064.0
2022-11-08 03:58:59,9492619264.0,5502713856.0,1022468096.0,990982144.0,1010180096.0,962576384.0
2022-11-08 03:59:00,9494642688.0,5507518464.0,1020948480.0,992432128.0,1009586176.0,961761280.0
2022-11-08 03:59:01,9497993216.0,5507354624.0,1022976000.0,1003315200.0,1024323584.0,961937408.0
2022-11-08 03:59:02,9499770880.0,5507526656.0,1022742528.0,994140160.0,1011851264.0,961486848.0
2022-11-08 03:59:03,9500147712.0,5508100096.0,1023905792.0,993267712.0,1011675136.0,962035712.0
2022-11-08 03:59:04,9529389056.0,5520646144.0,1027313664.0,995172352.0,1011818496.0,967778304.0
2022-11-08 03:59:05,9523712000.0,5525401600.0,1026375680.0,996245504.0,1011916800.0,963579904.0
2022-11-08 03:59:06,9538363392.0,5533368320.0,1020956672.0,992374784.0,1013690368.0,959193088.0
2022-11-08 03:59:07,9516580864.0,5526843392.0,1018892288.0,991068160.0,1012846592.0,961884160.0
2022-11-08 03:59:08,9514606592.0,5530988544.0,1020076032.0,991645696.0,1012072448.0,958074880.0
2022-11-08 03:59:09,9522151424.0,5534216192.0,1021521920.0,993177600.0,1011089408.0,959762432.0
2022-11-08 03:59:10,9523064832.0,5534056448.0,1021816832.0,994418688.0,1013354496.0,961245184.0
2022-11-08 03:59:11,9531916288.0,5532303360.0,1024675840.0,1002901504.0,1031622656.0,959971328.0
2022-11-08 03:59:12,9526730752.0,5534507008.0,1024270336.0,994164736.0,1012469760.0,960270336.0
2022-11-08 03:59:13,9523654656.0,5532127232.0,1024172032.0,993341440.0,1011060736.0,960204800.0
2022-11-08 03:59:14,9531899904.0,5534633984.0,1026580480.0,991309824.0,1010835456.0,962830336.0
2022-11-08 03:59:15,9524477952.0,5534072832.0,1026068480.0,990568448.0,1011900416.0,959983616.0
2022-11-08 03:59:16,9536684032.0,5540249600.0,1025572864.0,992956416.0,1012449280.0,959008768.0
2022-11-08 03:59:17,9533980672.0,5536718848.0,1025560576.0,993652736.0,1014964224.0,959647744.0
2022-11-08 03:59:18,9527443456.0,5536186368.0,1021157376.0,990539776.0,1015803904.0,958226432.0
2022-11-08 03:59:19,9527054336.0,5535363072.0,1023205376.0,993251328.0,1016143872.0,958615552.0
2022-11-08 03:59:20,9533870080.0,5537538048.0,1022451712.0,993476608.0,1017724928.0,959766528.0
2022-11-08 03:59:21,9542180864.0,5538013184.0,1021186048.0,1002299392.0,1032556544.0,960864256.0
2022-11-08 03:59:22,9529204736.0,5536485376.0,1020641280.0,991518720.0,1017712640.0,960929792.0
2022-11-08 03:59:23,9527193600.0,5536149504.0,1020252160.0,991920128.0,1014050816.0,962609152.0
2022-11-08 03:59:24,9537548288.0,5537243136.0,1024045056.0,995274752.0,1011048448.0,967319552.0
2022-11-08 03:59:25,9534455808.0,5538529280.0,1022701568.0,995467264.0,1012629504.0,962805760.0
2022-11-08 03:59:26,9583595520.0,5553958912.0,1026383872.0,996093952.0,1012944896.0,960151552.0
2022-11-08 03:59:27,9584017408.0,5538631680.0,1058652160.0,1000173568.0,1015885824.0,990060544.0
2022-11-08 03:59:28,9615986688.0,5540016128.0,1065431040.0,1030287360.0,1029107712.0,993763328.0
2022-11-08 03:59:29,9670234112.0,5538914304.0,1064161280.0,1034039296.0,1038667776.0,993452032.0
2022-11-08 03:59:30,9671512064.0,5541494784.0,1062182912.0,1033605120.0,1041313792.0,990208000.0
2022-11-08 03:59:31,9677750272.0,5540409344.0,1078013952.0,1040379904.0,1057259520.0,992215040.0
2022-11-08 03:59:32,9663963136.0,5538189312.0,1042886656.0,1011134464.0,1046728704.0,977076224.0
2022-11-08 03:59:33,9623437312.0,5541187584.0,1041145856.0,1007796224.0,1047425024.0,978399232.0
2022-11-08 03:59:34,9612832768.0,5541142528.0,1041829888.0,1011056640.0,1036447744.0,987365376.0
2022-11-08 03:59:35,9619308544.0,5543489536.0,1039355904.0,1011302400.0,1035423744.0,983642112.0
2022-11-08 03:59:36,9635536896.0,5554946048.0,1040838656.0,1010896896.0,1035579392.0,984281088.0
2022-11-08 03:59:37,9607790592.0,5542924288.0,1042284544.0,1009393664.0,1034047488.0,977731584.0
2022-11-08 03:59:38,9622208512.0,5541548032.0,1043968000.0,1011073024.0,1034715136.0,980742144.0
2022-11-08 03:59:39,9638453248.0,5560369152.0,1042845696.0,1013161984.0,1032523776.0,982896640.0
2022-11-08 03:59:40,9641205760.0,5548843008.0,1053995008.0,1048391680.0,1032638464.0,982835200.0
2022-11-08 03:59:41,9701769216.0,5553725440.0,1062813696.0,1056813056.0,1058598912.0,1021181952.0
2022-11-08 03:59:42,9668984832.0,5552041984.0,1051623424.0,1025863680.0,1044193280.0,991031296.0
2022-11-08 03:59:43,9665888256.0,5551951872.0,1051848704.0,1026936832.0,1045536768.0,989454336.0
2022-11-08 03:59:44,9679286272.0,5552058368.0,1040781312.0,1007288320.0,1045372928.0,992550912.0
2022-11-08 03:59:45,9599488000.0,5549498368.0,1037164544.0,1006780416.0,1027657728.0,973475840.0
