,{},"{kubernetes_node=""node1""}","{kubernetes_node=""node2""}","{kubernetes_node=""node3""}","{kubernetes_node=""node4""}","{kubernetes_node=""node5""}"
2022-11-08 00:31:00,8429797376.0,4515278848.0,1008513024.0,973844480.0,999194624.0,928739328.0
2022-11-08 00:31:01,8438218752.0,4517052416.0,1010270208.0,987648000.0,1014706176.0,929071104.0
2022-11-08 00:31:02,8425517056.0,4512391168.0,1009790976.0,975278080.0,999501824.0,930181120.0
2022-11-08 00:31:03,8431452160.0,4509630464.0,1006403584.0,976084992.0,1000599552.0,932208640.0
2022-11-08 00:31:04,8433065984.0,4514258944.0,1005076480.0,976416768.0,1000607744.0,938209280.0
2022-11-08 00:31:05,8436023296.0,4515008512.0,1003720704.0,978857984.0,1001168896.0,934522880.0
2022-11-08 00:31:06,8448729088.0,4522369024.0,1003528192.0,979800064.0,1001259008.0,933548032.0
2022-11-08 00:31:07,8436924416.0,4513849344.0,1005342720.0,977252352.0,1004130304.0,934678528.0
2022-11-08 00:31:08,8435040256.0,4514582528.0,1006706688.0,977010688.0,1000001536.0,937111552.0
2022-11-08 00:31:09,8434712576.0,4514484224.0,1006481408.0,976760832.0,999510016.0,936308736.0
2022-11-08 00:31:10,8433160192.0,4512845824.0,1011142656.0,975986688.0,1000620032.0,936247296.0
2022-11-08 00:31:11,8446488576.0,4515893248.0,1013624832.0,985931776.0,1014763520.0,937246720.0
2022-11-08 00:31:12,8444780544.0,4518268928.0,1007796224.0,975364096.0,1001119744.0,932958208.0
2022-11-08 00:31:13,8431988736.0,4518715392.0,1005961216.0,974073856.0,998780928.0,933023744.0
2022-11-08 00:31:14,8438689792.0,4514484224.0,1005703168.0,975101952.0,999714816.0,935907328.0
2022-11-08 00:31:15,8429060096.0,4514168832.0,1007542272.0,974143488.0,1001005056.0,930770944.0
2022-11-08 00:31:16,8443011072.0,4519329792.0,1006829568.0,974544896.0,1001820160.0,929554432.0
2022-11-08 00:31:17,8428027904.0,4512280576.0,1008152576.0,974630912.0,1003855872.0,930791424.0
2022-11-08 00:31:18,8433807360.0,4513939456.0,1010704384.0,974766080.0,1002614784.0,933289984.0
