,"{SIM_ID=""2""}","{SIM_ID=""3""}","{SIM_ID=""4""}","{SIM_ID=""5""}"
2022-11-08 03:59:43,0.001209404,0.001976867,0.001713371,0.011045222
2022-11-08 03:59:44,0.001209404,0.00184163,0.001693378,0.004320497
2022-11-08 03:59:45,0.001193895,0.002044598,0.002155301,0.003669401
2022-11-08 03:59:46,0.008817608,0.001891355,0.002487595,0.002391476
2022-11-08 03:59:47,0.001181405,0.001754373,0.001754824,0.00149639
2022-11-08 03:59:48,0.001203004,0.001787237,0.006149355,0.007303772
2022-11-08 03:59:49,0.001060184,0.001847595,0.001762897,0.001755579
2022-11-08 03:59:50,0.001182233,0.001795297,0.003037292,0.004519778
2022-11-08 03:59:51,0.001417486,0.001889252,0.001664503,0.001208929
2022-11-08 03:59:52,0.001215424,0.001980978,0.001822741,0.003023145
2022-11-08 03:59:53,0.00127997,0.001917694,0.001868118,0.001262176
2022-11-08 03:59:54,0.001340975,0.001935439,0.001848776,0.001101456
2022-11-08 03:59:55,0.001340975,0.001734475,0.003362317,0.001231617
2022-11-08 03:59:56,0.001104367,0.002035067,0.001775759,0.001245016
2022-11-08 03:59:57,0.001104367,0.001781164,0.001873537,0.001362623
2022-11-08 03:59:58,0.001284753,0.001800397,0.001605415,0.001249291
2022-11-08 03:59:59,0.001100378,0.00181279,0.002093776,0.003029172
2022-11-08 04:00:00,0.001210252,0.001772176,0.001642794,0.001432726
